,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature
0,3.241709471,0.0019899,0.9619807,0.0419559,0.0104708,0.0036551,65.81021881,0.0024374,1.0124303,0.0481759,0.0081651,0.0027906,65.81021881
1,3.241220951,0.0027387,0.959487,0.0525772,0.0115188,0.0032932,66.27796173,0.0034169,0.983099,0.0522578,0.0086778,0.0030248,66.27796173
2,3.241611719,0.0017188,0.9723627,0.0503932,0.0116325,0.0033041,65.88819771,0.0034582,0.9936279,0.0476382,0.0103502,0.003348,65.88819771
3,3.241123438,0.0024722,0.955463,0.0428264,0.0100441,0.0028593,65.84923401,0.0014652,0.9791234,0.0392119,0.0065931,0.0021837,65.84923401
4,3.241025686,0.0025862,0.9422214,0.0557567,0.0107987,0.0033635,66.04411087,0.0031839,0.9771959,0.0512568,0.0126929,0.0033268,66.04411087
5,3.240830421,0.0026022,0.9598683,0.0478572,0.0087666,0.003045,65.1086731,0.0019878,0.9886914,0.0404826,0.0115368,0.0033616,65.1086731
6,3.241025686,0.0028113,0.9023525,0.042225,0.0088353,0.0032069,65.38148422,0.0019845,1.0047609,0.0469723,0.0081826,0.0029453,65.38148422
7,3.241025686,0.0019481,1.0031996,0.0484841,0.0097594,0.0028643,65.38148422,0.0015766,0.9887029,0.036805,0.0076532,0.0025366,65.38148422
8,3.240830421,0.0025024,0.934936,0.0470419,0.0101285,0.0028366,65.14764023,0.0012909,1.0192137,0.0416833,0.0063868,0.002266,65.14764023
9,3.240634918,0.0020307,0.9412167,0.047875,0.014829,0.0031793,64.99172363,0.0019681,0.9555168,0.0437924,0.0114875,0.0033244,64.99172363
10,3.240439415,0.0021825,0.9324629,0.0535544,0.010307,0.0026358,65.26458626,0.0029668,0.9930928,0.0390004,0.0105644,0.0029423,65.26458626
11,3.240439415,-1,-1,-1,-1,-1,64.91378937,0.002477,0.9815283,0.0420264,0.0092463,0.0034178,64.91378937
12,3.240341902,0.003027,0.9453129,0.0438948,0.0116926,0.0034791,64.71890564,0.0027128,1.0340404,0.0487792,0.0099573,0.0025749,64.71890564
13,3.240341902,0.003358,0.9388363,0.0480285,0.0102329,0.0033777,65.22557106,0.0026551,0.9748197,0.0438953,0.0127981,0.0034762,65.22557106
14,3.240146637,0.0027235,0.9457508,0.0412909,0.0090951,0.0031865,64.87482224,0.002687,0.9671733,0.0414123,0.0086754,0.0033068,64.87482224
15,3.239853621,0.0033567,0.9991859,0.0462167,0.0094797,0.0032283,64.87482224,0.0020053,1.0037253,0.0422635,0.0080742,0.0025179,64.87482224
16,3.240048885,0.0015191,0.9771905,0.0494052,0.0078562,0.0028219,64.64092331,0.0027004,0.9724608,0.045425,0.0087399,0.003187,64.64092331
17,3.239462614,0.0017436,0.9268777,0.0472308,0.0120773,0.0036055,64.64092331,0.0016888,1.0050256,0.0395707,0.0059298,0.0021835,64.64092331
18,3.239267349,0.003177,0.9723782,0.0475821,0.0132685,0.0039431,64.60195961,0.0023743,0.967346,0.0457433,0.0079797,0.0028061,64.60195961
19,3.238583565,0.0056298,0.948971,0.0516158,0.0165404,0.004367,64.44604301,0.0027357,0.9935474,0.0433285,0.0087194,0.002691,64.44604301
20,3.239072084,0.0016594,0.9557773,0.0473528,0.0074298,0.0025143,64.87482224,0.0016129,0.9350286,0.0531232,0.0093225,0.0028132,64.87482224
21,3.238974333,0.0021882,0.9769071,0.0425866,0.0105774,0.0032333,64.56299248,0.0019161,0.9837319,0.0475764,0.0099502,0.0029591,64.56299248
22,3.239462614,0.0029425,0.9864699,0.0476825,0.0078188,0.00324,64.21219559,0.0023644,0.9882541,0.0507012,0.0097963,0.003146,64.21219559
23,3.238485813,0.002273,0.9851406,0.049911,0.0099734,0.0031797,64.29017792,0.0023641,0.9826157,0.0448068,0.0094364,0.0027871,64.29017792
24,3.238193035,0.0029812,0.945519,0.0460324,0.0104634,0.0033983,64.52402534,0.0014704,0.9664944,0.0437932,0.0118271,0.0030858,64.52402534
25,3.237997532,0.0029013,0.9855425,0.0486284,0.0093532,0.0033542,64.44604301,0.0023435,0.9651136,0.0403125,0.0090275,0.0028426,64.44604301
26,3.238095284,0.0028394,0.9498212,0.0553116,0.0115151,0.0032151,64.52402534,0.0019152,0.9999337,0.0404365,0.0080082,0.0026955,64.52402534
27,3.238583565,0.0022658,0.9626093,0.0534364,0.0108669,0.0031773,64.44604301,0.0035428,0.9883519,0.0440653,0.0107725,0.003141,64.44604301
28,3.237704515,0.0043687,0.9639592,0.0522242,0.0114174,0.003731,64.13426132,0.0031733,0.9840714,0.0443298,0.0085097,0.0029352,64.13426132
29,3.237606764,0.0015113,0.9779736,0.0479336,0.0116931,0.0033031,63.8613987,0.0020109,0.9958027,0.0439819,0.0096434,0.0026239,63.8613987
30,3.237802267,0.0049738,0.9626969,0.0487769,0.0119064,0.0044066,64.09529419,0.0036988,0.9450627,0.0516287,0.012682,0.0035495,64.09529419
31,3.237704515,0.0018385,0.9195665,0.0432414,0.0083452,0.002422,64.25116272,0.0009662,0.9911079,0.043639,0.0070396,0.0021136,64.25116272
32,3.237509012,0.0021823,0.9965118,0.043863,0.0119912,0.0032506,64.36811218,0.0025401,1.01972,0.0466881,0.0102902,0.003261,64.36811218
33,3.237411499,0.0022365,0.9486773,0.043445,0.0101745,0.0031542,63.97834473,0.0022712,1.0027702,0.043598,0.0125029,0.0031913,63.97834473
34,3.237216234,0.001884,0.9512175,0.0442067,0.0099079,0.0027411,64.67993851,0.002915,0.9956129,0.0442539,0.0133631,0.0035989,64.67993851
35,3.237118483,0.002312,0.9729449,0.0476967,0.0108603,0.002891,63.97834473,0.002079,0.9339527,0.0407756,0.0077256,0.0027789,63.97834473
36,3.237411499,0.0017985,1.0077027,0.0511087,0.0073214,0.0025868,63.7444973,0.0033284,0.9929893,0.0464495,0.0083645,0.0026916,63.7444973
37,3.236923218,0.0031529,0.9762734,0.0566416,0.0098668,0.0033582,64.21219559,0.0024189,0.9787724,0.0523213,0.0100736,0.0029252,64.21219559
38,3.236434698,0.0017065,0.9469822,0.0477393,0.0105781,0.0033434,63.90041046,0.0027353,0.9748255,0.0443536,0.0081778,0.003142,63.90041046
39,3.236727715,0.0023168,0.9375534,0.0402665,0.0101296,0.0031069,64.09529419,0.0027716,0.9635141,0.0413595,0.0073659,0.002431,64.09529419
40,3.236532211,0.0028865,0.9996754,0.0423905,0.0099788,0.0029724,64.13426132,0.0025168,0.9473411,0.0460114,0.00905,0.0030938,64.13426132
41,3.235946417,0.0029522,0.9310151,0.050601,0.0088737,0.0032876,64.40707932,0.0024363,0.9725068,0.0416758,0.010342,0.0028659,64.40707932
42,3.236141682,0.0016249,1.0050853,0.051716,0.0104716,0.0027273,64.32914505,0.0017885,1.013207,0.0481971,0.00778,0.0026452,64.32914505
43,3.236239433,0.002375,0.8987923,0.0547796,0.0104765,0.0032079,64.25116272,0.0012686,0.9848711,0.0415189,0.0091969,0.0032937,64.25116272
44,3.235653162,0.0026202,0.9624084,0.0464017,0.0089115,0.0029317,63.97834473,0.0029467,0.948555,0.0429645,0.0072532,0.0027676,63.97834473
45,3.235457897,0.004247,0.9569726,0.0511659,0.0118542,0.0035761,64.25116272,0.0016406,1.0097607,0.0411877,0.0093223,0.0026184,64.25116272
46,3.235848665,0.0030204,0.9592912,0.0529183,0.0113079,0.0032702,64.17322845,0.0025426,0.9614716,0.0426335,0.0109401,0.0030793,64.17322845
47,3.235457897,0.0027461,0.9669682,0.0477243,0.0115128,0.0033142,63.97834473,0.0020244,0.9894681,0.0450535,0.0081095,0.0028735,63.97834473
48,3.23555541,0.002674,0.9457096,0.0484483,0.0087352,0.0031879,64.05627899,0.0032249,0.9494238,0.0444659,0.0079206,0.0029738,64.05627899
49,3.235262632,0.0018786,0.9632225,0.0469723,0.010436,0.0034561,64.01731186,0.0020982,0.9656026,0.0441948,0.0074433,0.0029112,64.01731186
50,3.235360146,0.0023814,0.9377647,0.0473145,0.0126266,0.003281,63.97834473,0.0015347,0.9735022,0.038554,0.0086652,0.0031164,63.97834473
51,3.234871864,0.0040711,0.9290108,0.0493419,0.0102404,0.0034281,64.25116272,0.0026804,1.0092659,0.0424424,0.0110252,0.0029898,64.25116272
52,3.235360146,0.0017465,0.9481982,0.0497916,0.011597,0.0032325,64.05627899,0.0018019,0.9412999,0.049341,0.0085088,0.0027317,64.05627899
53,3.234676361,0.0015059,0.9742279,0.045983,0.0082119,0.0029222,63.97834473,0.0027897,0.9512937,0.0423412,0.0108437,0.0032742,63.97834473
54,3.234481096,0.0022422,0.9501715,0.0482083,0.0111191,0.003573,63.97834473,0.0016697,0.982725,0.0469222,0.0092218,0.0030238,63.97834473
