,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Velocity,Machines > Bridgeport Mill 2 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 2 > Spindle > Battery Voltage
0,0.0026596,1.0012481,0.0436155,0.0075055,0.0028338,64.01565018,0.0020844,0.9706077,0.0421384,0.0089599,0.0030537,64.01565018,3.219633818
1,0.0021423,1.0113088,0.0400934,0.0096137,0.0033005,64.12135925,0.0014178,0.9460466,0.0479212,0.0069609,0.0027021,64.12135925,3.219926596
2,0.0020929,1.0060244,0.0501839,0.0108988,0.003302,64.15658417,0.0031308,0.9926581,0.0399028,0.0083008,0.0027271,64.15658417,3.220512867
3,0.0013786,1.0468393,0.0428044,0.0083259,0.0030194,63.55766792,0.0020835,0.9685969,0.0472512,0.0075094,0.0026049,63.55766792,3.21924305
4,0.0021011,1.006766,0.040209,0.0092112,0.0032804,63.80426979,0.0030232,1.0205947,0.0408278,0.0099562,0.0028075,63.80426979,3.219438314
5,0.0028645,0.9891671,0.0416873,0.0090925,0.0029622,63.6633358,0.0018428,1.003425,0.0381945,0.0109379,0.0031684,63.6633358,3.219145298
6,0.0032986,1.0296492,0.0449384,0.0102144,0.0031445,63.38151245,0.0020748,0.996893,0.0431993,0.0098193,0.0035342,63.38151245,3.219047546
7,0.0025384,0.9961915,0.0484401,0.0126086,0.0036822,63.34624634,0.0037474,0.9250745,0.0441732,0.0093663,0.0032128,63.34624634,3.218852282
8,0.002007,0.9343211,0.0416153,0.0100104,0.0032397,63.48718033,0.0012521,1.0245656,0.0385934,0.0077404,0.0030123,63.48718033,3.218559265
9,0.003052,1.0221168,0.0472846,0.0094322,0.0034894,63.20535355,0.0022077,1.008317,0.0482001,0.0084066,0.0030194,63.20535355,3.218461514
10,0.0017232,1.0106022,0.0399465,0.0116321,0.0034735,63.27579994,0.0026429,0.9981286,0.0399956,0.007103,0.0025845,63.27579994,3.218168497
11,0.0019094,1.0401594,0.0436958,0.0106002,0.0029894,63.17008743,0.0022165,0.9822001,0.0510678,0.0093998,0.0027985,63.17008743,3.217289448
12,0.0021724,1.030998,0.0394876,0.0088133,0.0026493,63.06441956,0.0012977,0.9827056,0.0429767,0.0087926,0.0029431,63.06441956,3.217582464
13,0.0020059,1.0595976,0.0405422,0.0113018,0.0033806,62.92348557,0.002126,0.9834414,0.0395184,0.010546,0.0029802,62.92348557,3.217093945
14,0.0032185,1.0171069,0.0479894,0.0135288,0.0038802,62.92348557,0.0042302,0.9691754,0.046333,0.0100411,0.0036301,62.92348557,3.216703415
15,0.0030164,1.0015926,0.044997,0.0107172,0.0035668,62.6768837,0.002517,0.986025,0.0520311,0.008303,0.0028392,62.6768837,3.217093945
16,0.0022714,0.9957127,0.0388704,0.0080712,0.002674,62.92348557,0.0020756,0.9660077,0.0478661,0.0104089,0.0029734,62.92348557,3.216605663
17,0.003201,1.0069937,0.0468679,0.0100158,0.0030244,62.8530426,0.0019544,1.0229649,0.0480778,0.0091515,0.0030717,62.8530426,3.216117144
18,0.00165,1.0010437,0.0451893,0.0087152,0.0027852,62.8530426,0.002302,1.0045651,0.0452225,0.0086697,0.0027169,62.8530426,3.216019392
19,0.0020189,1.0138429,0.0422782,0.0097612,0.003176,62.74733009,0.001889,1.0235883,0.046429,0.0103924,0.0032065,62.74733009,3.215335846
20,0.0012797,1.0147888,0.0413594,0.00891,0.0030627,62.74733009,0.002331,1.0506543,0.0481671,0.0096625,0.002823,62.74733009,3.215335846
21,0.0020294,0.9789372,0.0373155,0.0108492,0.0035318,62.6063961,0.0015163,0.9635814,0.0469339,0.0102456,0.0030745,62.6063961,3.215921879
22,0.0023585,1.0118576,0.0438816,0.0094724,0.0029044,62.6063961,0.0014814,0.9526629,0.0493961,0.0099477,0.0028703,62.6063961,3.214945078
23,0.0017569,1.001867,0.0429054,0.0095873,0.00331,62.43024063,0.0024526,0.97901,0.0432896,0.0081479,0.0027765,62.43024063,3.214749813
24,0.0031586,1.0600005,0.0523222,0.0093547,0.0029294,62.28930664,0.0025406,1.0003134,0.0431734,0.0089389,0.0028767,62.28930664,3.21455431
25,0.0016692,1.0620091,0.0462575,0.0096007,0.0033518,62.43024063,0.0028814,0.9751683,0.0426236,0.0084868,0.0029086,62.43024063,3.214261293
26,0.0017528,1.0524798,0.0449342,0.0125599,0.0037665,62.43024063,0.0028957,0.9697371,0.0483143,0.0082913,0.0026272,62.43024063,3.21406579
27,0.0022329,0.9729171,0.0483635,0.0114029,0.0028127,62.71210861,0.0020951,1.0219314,0.0456548,0.010189,0.0031391,62.71210861,3.214163542
28,0.0025314,0.9765081,0.0473182,0.0104271,0.0035017,62.35979424,0.0022157,1.0091482,0.0361572,0.0102421,0.0033535,62.35979424,3.214359045
29,0.0035321,1.0051252,0.0481479,0.0119349,0.0032304,62.25408173,0.0034145,0.9853285,0.0448458,0.0090621,0.0032429,62.25408173,3.213773012
30,0.0027667,1.0204994,0.0529656,0.0080816,0.0029535,62.14841385,0.0023876,1.0029869,0.0523259,0.0101818,0.0032844,62.14841385,3.213577509
31,0.0023672,0.9375618,0.0439686,0.0102028,0.003106,62.14841385,0.0042229,1.0050706,0.0424635,0.0102767,0.0030528,62.14841385,3.213382244
32,0.0018631,1.0490056,0.0444591,0.0086725,0.0028627,62.39501572,0.0024464,0.9994485,0.0574716,0.0081016,0.0023713,62.39501572,3.21269846
33,0.0024218,0.9575955,0.0470165,0.0106487,0.0030851,62.53594971,0.0020364,1.0124844,0.0385964,0.0087472,0.0033816,62.53594971,3.212796211
