,Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 3 > Spindle > Battery Voltage,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity
0,0.0056292,63.08333321,0.0032287,0.9987726,0.0402306,0.0116185,0.0042207,63.08333321,0.003376,1.0356364,3.233992815,0.0488248,0.0182531
1,0.0065285,62.53333359,0.0052199,0.9852198,0.0491428,0.0144613,0.0040188,62.53333359,0.0030283,1.0158711,3.233992815,0.0463485,0.0179986
2,0.0052802,62.82668228,0.0048614,0.9585527,0.0453545,0.0154488,0.0050041,62.82668228,0.0046084,1.0365138,3.233992815,0.0508436,0.0170912
3,0.0052979,62.38665924,0.0049413,0.9788923,0.0418329,0.0173142,0.004227,62.38665924,0.0033971,1.0276595,3.233992815,0.0501895,0.0163916
4,0.0057947,62.90000229,0.0038719,0.992466,0.0413265,0.0121232,0.0046653,62.90000229,0.002492,1.051461,3.233211279,0.0537592,0.0168194
5,0.0055098,62.46002045,0.0052751,0.9725231,0.0404136,0.0134992,0.0049552,62.46002045,0.003773,1.0226582,3.233016014,0.050458,0.0178514
6,0.0054847,62.68000793,0.0047706,0.9828391,0.0461433,0.0132021,0.0043745,62.68000793,0.0033434,1.0349602,3.232722759,0.0439139,0.0187069
7,0.0049681,62.60664673,0.0036812,1.0140795,0.0408374,0.0150933,0.0051765,62.60664673,0.0036893,1.0309396,3.23233223,0.0473788,0.0139165
8,0.004569,62.90000229,0.0034049,0.9945125,0.045374,0.0138491,0.0047082,62.90000229,0.0053432,1.0325912,3.232429743,0.044236,0.0131132
9,0.0047076,62.56999359,0.0027523,0.9811894,0.0420535,0.0190579,0.00517,62.56999359,0.0032615,1.0334635,3.23233223,0.0526245,0.0160327
10,0.0052211,62.38665924,0.0048544,1.0290105,0.0414058,0.0186332,0.0058458,62.38665924,0.0038918,1.0332518,3.232429743,0.0485341,0.0157281
11,0.0056557,62.60664673,0.0055742,0.9859924,0.0516069,0.0152023,0.0040107,62.60664673,0.00305,1.0493294,3.232039213,0.044519,0.0202885
12,0.0056537,62.46002045,0.0070076,0.9992737,0.0433293,0.0125689,0.0046078,62.46002045,0.0043662,1.0574482,3.231648207,0.0587925,0.015562
13,0.0053374,62.82668228,0.0042562,0.9744443,0.048022,0.0138,0.0043157,62.82668228,0.0035718,1.0295021,3.231452942,0.0534869,0.0149826
14,0.0045731,62.34999924,0.0028862,0.9779735,0.0442176,0.0162737,0.0052162,62.34999924,0.0033676,1.0284931,3.231550694,0.0547398,0.0136935
15,0.0056333,62.31334267,0.0062888,0.9830688,0.0430429,0.0148757,0.0048799,62.31334267,0.0028619,1.0397138,3.231452942,0.044537,0.0214896
16,0.0053998,62.49667358,0.0035403,0.9796441,0.0461383,0.0198555,0.0049547,62.49667358,0.003747,1.0326506,3.230378628,0.0488903,0.016289
17,0.0054323,62.34999924,0.0029693,0.998877,0.0503779,0.0147524,0.0055186,62.34999924,0.0034251,1.0798974,3.231159925,0.0543788,0.0230525
18,0.0053937,62.42331581,0.0052967,0.9968514,0.0454551,0.0127476,0.0044548,62.42331581,0.0034147,1.0617759,3.230183125,0.0399228,0.015116
19,0.0052553,62.42331581,0.0050623,0.9803959,0.0501304,0.0201219,0.0045217,62.42331581,0.0024899,1.0776083,3.230476141,0.0485104,0.0178508
20,0.0060581,62.2766861,0.0038243,0.9799573,0.0445747,0.0164317,0.0053438,62.2766861,0.0026211,1.020524,3.230280876,0.0450582,0.0210015
21,0.0044403,62.34999924,0.0030108,1.006165,0.0406798,0.0136481,0.0043526,62.34999924,0.0035683,1.0527823,3.229694605,0.0490942,0.014657
22,0.0048998,62.34999924,0.0045817,0.9944081,0.0415492,0.0149864,0.0041397,62.34999924,0.0024699,1.0561527,3.230183125,0.0445034,0.0142514
23,0.0056236,62.60664673,0.0053819,1.0029282,0.0401363,0.0150273,0.0050587,62.60664673,0.0040145,1.020653,3.22949934,0.0424791,0.0178774
24,0.0048146,62.34999924,0.0030625,0.992299,0.0402233,0.0169311,0.0045682,62.34999924,0.0027811,1.0273266,3.229206324,0.0505428,0.0161242
25,0.0048786,62.49667358,0.0029753,1.0235811,0.0417165,0.0202846,0.005969,62.49667358,0.0037615,1.0278712,3.229304075,0.0446414,0.0182034
26,0.0055479,62.42331581,0.0046332,0.9831941,0.0443259,0.0142566,0.0054203,62.42331581,0.0036128,1.0739051,3.22910881,0.0513147,0.0176128
27,0.0052375,62.49667358,0.0044069,1.0006102,0.046392,0.0141821,0.0048923,62.49667358,0.0030539,1.0311563,3.228913307,0.0531134,0.0150604
28,0.0056107,62.2766861,0.0058281,1.031955,0.041104,0.014389,0.004746,62.2766861,0.0037834,1.0321189,3.228620291,0.0565618,0.0159085
29,0.0057899,62.34999924,0.004242,0.9730243,0.0444541,0.0158797,0.0054783,62.34999924,0.0054469,1.022186,3.228425026,0.0477888,0.0169461
30,0.0055325,62.13001175,0.0068526,1.0079609,0.0429036,0.0196984,0.0050854,62.13001175,0.003663,1.0320802,3.229011059,0.0513573,0.0157525
31,0.0048242,62.31334267,0.0028693,0.9838833,0.0502999,0.0177921,0.005003,62.31334267,0.004436,1.0276466,3.228229523,0.0508243,0.0130726
32,0.0054207,62.09335175,0.0067999,0.9961622,0.0428613,0.014243,0.0045072,62.09335175,0.0048658,1.0379332,3.227936506,0.0428137,0.0140681
33,0.0049237,62.68000793,0.0026177,0.9861595,0.0442428,0.0175961,0.0051135,62.68000793,0.004242,1.0155433,3.227350473,0.043525,0.0148225
34,0.0052517,62.13001175,0.0051857,1.0056847,0.0467605,0.0134759,0.0051878,62.13001175,0.0051513,1.0554611,3.22764349,0.0492919,0.0139738
35,0.0050504,62.34999924,0.0045005,1.0086291,0.0405402,0.015171,0.0046987,62.34999924,0.0047624,1.0429784,3.227838755,0.0478191,0.0160945
36,0.0047969,62.20332489,0.002814,0.9816697,0.0395522,0.0147901,0.0046753,62.20332489,0.0031553,1.0190917,3.226959705,0.0465517,0.0136497
37,0.0051105,62.16666489,0.0048273,0.9716252,0.0433559,0.0182069,0.0051044,62.16666489,0.004975,1.0122659,3.226764202,0.0489041,0.0174043
38,0.0054535,62.20332489,0.0023877,0.9549609,0.0436361,0.016062,0.0040701,62.20332489,0.0043532,1.0346196,3.226568937,0.0499366,0.0164512
39,0.005334,62.23998489,0.0027189,0.9922781,0.044638,0.0116737,0.004378,62.23998489,0.0045056,1.0463668,3.226568937,0.0511677,0.0160803
40,0.0050913,62.46002045,0.0045711,0.9940949,0.04157,0.0206665,0.004943,62.46002045,0.0026751,1.0530714,3.226080656,0.0465983,0.018465
41,0.0050079,62.42331581,0.0050966,0.9860133,0.043329,0.0164346,0.0048992,62.42331581,0.0037216,1.0181472,3.225689888,0.0433222,0.0164436
42,0.0053258,62.31334267,0.0033839,1.0065409,0.0406622,0.0175246,0.0051289,62.31334267,0.0032231,1.036057,3.225982904,0.0530066,0.0192233
43,0.0052766,62.2766861,0.0032586,0.9805003,0.0404563,0.0153294,0.0053551,62.2766861,0.0032483,1.04567,3.226080656,0.0432947,0.0172452
44,0.0047215,62.23998489,0.0035363,0.9725858,0.0428648,0.0135886,0.0047831,62.23998489,0.0022536,1.020493,3.225494623,0.0417168,0.0187231
45,0.0052004,62.56999359,0.0041925,0.9906283,0.0507049,0.017975,0.0058154,62.56999359,0.0038769,1.0425913,3.225201607,0.0450672,0.0197697
46,0.0051551,62.31334267,0.0027645,1.0061023,0.0507024,0.0166909,0.0047498,62.31334267,0.0054431,1.0435487,3.225201607,0.0461938,0.0195011
47,0.0046136,62.38665924,0.0050527,0.9766997,0.0440296,0.0152176,0.0046992,62.38665924,0.0051398,1.0481913,3.225201607,0.0451534,0.0159374
48,0.0058792,62.53333359,0.0073046,0.9984176,0.0451199,0.0150876,0.0043037,62.53333359,0.0032817,1.0566378,3.225396872,0.041792,0.0193686
49,0.0056683,62.78998108,0.0028031,1.00297,0.0472524,0.0161919,0.0045563,62.78998108,0.0030176,1.0448003,3.224224806,0.0466473,0.0191798
50,0.0053859,62.2766861,0.0040831,0.976825,0.0434883,0.0148339,0.0047731,62.2766861,0.0036497,1.059105,3.224224806,0.0493633,0.0141363
51,0.0054454,62.34999924,0.0045465,0.9869112,0.0432644,0.0147427,0.0049,62.34999924,0.0030923,1.0515436,3.224420071,0.0440734,0.0161733
52,0.0052083,62.34999924,0.0031683,0.9969767,0.0450838,0.0159518,0.0050721,62.34999924,0.002426,1.0660856,3.223931551,0.0478769,0.0164351
53,0.0056643,62.34999924,0.0055248,0.9616642,0.0432496,0.0150195,0.0055597,62.34999924,0.0054737,1.0657915,3.224127054,0.0491383,0.0214794
54,0.003904,62.46002045,0.0024201,0.9870783,0.0488639,0.0147152,0.0049959,62.46002045,0.0047769,1.0448442,3.224029303,0.0486826,0.0121961
55,0.0048658,62.2766861,0.0043581,0.9678454,0.0388909,0.0142833,0.0044786,62.2766861,0.0035539,1.0434997,3.223150253,0.0394912,0.0133069
56,0.0052338,62.34999924,0.0033527,0.9729826,0.0392371,0.0168147,0.0047957,62.34999924,0.0024142,1.0345731,3.223638535,0.0493512,0.0208063
57,0.0053742,62.31334267,0.0029129,1.0254814,0.0483356,0.0146887,0.0047863,62.31334267,0.0038815,1.0087794,3.222661734,0.0471423,0.0184929
58,0.0050237,62.49667358,0.0022563,0.9729199,0.0508538,0.0147299,0.0040504,62.49667358,0.0031077,1.0413087,3.22256422,0.0467235,0.0186853
59,0.0056014,62.05665054,0.0046465,0.9757182,0.0462828,0.0154122,0.0049792,62.05665054,0.0037336,1.0358815,3.22295475,0.0528242,0.016795
60,0.0058965,62.20332489,0.0051386,0.9621445,0.0462489,0.0163942,0.0050908,62.20332489,0.0058393,1.0424519,3.222661734,0.0469617,0.018188
61,0.0043796,62.2766861,0.0027462,0.9794144,0.043036,0.0139299,0.0045001,62.2766861,0.0032265,1.0606817,3.222759485,0.0459958,0.0149793
62,0.0047535,62.34999924,0.003518,1.0083159,0.046322,0.0153943,0.0048881,62.34999924,0.0025797,1.0616469,3.222173452,0.0500722,0.0155286
63,0.0047015,62.53333359,0.0034677,0.9796232,0.0439114,0.0163544,0.0052522,62.53333359,0.0038218,1.0463255,3.222075701,0.0475712,0.0174065
64,0.0046454,62.49667358,0.0035588,1.0195925,0.0397375,0.0175035,0.0047223,62.49667358,0.002234,1.0534894,3.221977949,0.0498509,0.0157646
65,0.005241,62.13001175,0.0037124,0.9748411,0.043324,0.0159639,0.0051256,62.13001175,0.0034479,1.0310222,3.221977949,0.0492245,0.0160228
