,Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,Machines > Drill Press > MIB > Y-Radial > Band 1,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,Machines > Drill Press > MIB > X-Horizontal > Band 1,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,Machines > Drill Press > MIB > Y-Radial > Temperature,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,Machines > Drill Press > MIB > X-Horizontal > Temperature,Machines > Drill Press > MIB > Battery Voltage
0,0.0289761,0.0172062,0.0024617,0.3682643,0.0296664,0.0127583,0.0028611,0.3753436,0.0043411,65.62163849,0.0042797,65.62163849,3.245714426
1,0.0344743,0.015452,0.0020057,0.3641104,0.0302537,0.011738,0.0058991,0.3645496,0.0036731,65.62163849,0.0055444,65.62163849,3.245714426
2,0.0377887,0.0142716,0.0040133,0.3613421,0.0288175,0.0115973,0.0044538,0.3574632,0.0042443,65.85980835,0.0045348,65.85980835,3.245909691
3,0.034299,0.0176556,0.0037381,0.3710146,0.0356939,0.0164879,0.0021139,0.3770766,0.0051853,65.58762894,0.0051255,65.58762894,3.245518923
4,0.0332215,0.0140633,0.0036123,0.362878,0.0368338,0.015616,0.0038106,0.3464225,0.0050881,65.51960297,0.0047836,65.51960297,3.245518923
5,0.0379664,0.0179874,0.0063433,0.3745373,0.0311459,0.0146116,0.0047511,0.3738274,0.0055928,65.79174461,0.0051769,65.79174461,3.24493289
6,0.0337828,0.0120218,0.0052448,0.3643899,0.0328598,0.0160995,0.0043186,0.365347,0.0054554,65.79174461,0.0041663,65.79174461,3.244835138
7,0.031623,0.0147782,0.003577,0.3733019,0.0309742,0.0101016,0.0035152,0.3669337,0.0037633,65.65565491,0.0049461,65.65565491,3.244737625
8,0.038074,0.0123299,0.0019298,0.3522978,0.0275113,0.0133732,0.0029007,0.3548597,0.0045402,65.92783432,0.0044482,65.92783432,3.245518923
9,0.0386619,0.0206193,0.0026659,0.3577953,0.0354881,0.0111286,0.0028963,0.3723387,0.0041092,65.79174461,0.0056438,65.79174461,3.244151354
10,0.0338479,0.0151983,0.0039783,0.3686821,0.0291304,0.0145046,0.0036926,0.3696673,0.0040136,65.51960297,0.0047395,65.51960297,3.244151354
11,0.033087,0.0141451,0.0034439,0.3694365,0.0288319,0.0126856,0.0039719,0.3702205,0.004542,65.85980835,0.0046891,65.85980835,3.244249105
12,0.0357028,0.013701,0.0053474,0.3704104,0.029168,0.0154866,0.0031977,0.3666977,0.0047122,65.55361595,0.0045855,65.55361595,3.244542122
13,0.039193,0.0128717,0.0025417,0.35188,0.0298866,0.0120622,0.0037182,0.3784461,0.0035139,65.55361595,0.0043039,65.55361595,3.244346619
